filename,status,num_records,total_chars,thin_chunks,table_ratio,file_bytes,issues,preview
2023-Audit-Report-30052024.json,EMPTY,0,0,28,0.00,6872408,Has 28 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Audit-Report-Addendum.json,EMPTY,0,0,71,0.00,4820590,Has 71 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Audit-Report-Agricultural-Finance-Corporation.json,EMPTY,0,0,75,0.00,5206497,Has 75 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Audit-Report-Amended.json,EMPTY,0,0,7,0.00,446445,Has 7 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Audit-Report-Auditor-General-NGCDF.json,EMPTY,0,0,162,0.00,14914495,Has 162 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Audit-Report-DigitalskillsforAfrica.json,EMPTY,0,0,22,0.00,4634121,Has 22 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Audit-Report-Draft.json,EMPTY,0,0,4,0.00,1894815,Has 4 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Audit-Report-Finaleagricultureandfoodauth.json,EMPTY,0,0,45,0.00,4513075,Has 45 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Audit-Report-Full-Version.json,EMPTY,0,0,32,0.00,6585189,Has 32 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Audit-Report-IPPF.json,EMPTY,0,0,2,0.00,339555,Has 2 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Audit-Report-Intelligent-Transport-System.json,EMPTY,0,0,0,0.00,20913,All records extracted to empty text,
2023-Audit-Report-Other-Traffic-Control-Devices.json,EMPTY,0,0,18,0.00,1676215,Has 18 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Audit-Report-PKU.json,EMPTY,0,0,0,0.00,5474,All records extracted to empty text,
2023-Audit-Report.json,EMPTY,0,0,7,0.00,626427,Has 7 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Biannual-Energy-and-Petroleum-Statistics-Report.json,EMPTY,0,0,24,0.00,92003,Has 24 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Bill-KNEC-National-Addressing.json,EMPTY,0,0,2,0.00,275756,Has 2 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Bill-KNEC-NationalAddressing-Report.json,EMPTY,0,0,15,0.00,291250,Has 15 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Budget-Policy-Statement.json,EMPTY,0,0,78,0.00,14941606,Has 78 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Budget-Review-and-Outlook-Paper_f.json,EMPTY,0,0,39,0.00,9727969,Has 39 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Bulletin-KNEC-Final.json,EMPTY,0,0,21,0.00,2188479,Has 21 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Draft-Regulations-Propagating-Seeds.json,EMPTY,0,0,113,0.00,11592614,Has 113 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Economic-Survey.json,EMPTY,0,0,422,0.00,80632104,Has 422 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Election-Observer-Report.json,EMPTY,0,0,1,0.00,398042,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Energy-Post-SecondEdition.json,EMPTY,0,0,3,0.00,1214409,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-FSRP-ESMF-October-2023.json,EMPTY,0,0,146,0.00,7130230,Has 146 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-FSRP-RPF-OCTOBER.json,EMPTY,0,0,86,0.00,4579113,Has 86 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-FSRP-SEAH-OCTOBER.json,EMPTY,0,0,27,0.00,1670835,Has 27 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Final-SRP-Monthly-Report.json,EMPTY,0,0,20,0.00,1578038,Has 20 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Final-SRP-OCTOBER-2023.json,EMPTY,0,0,47,0.00,1934083,Has 47 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Final-SRP-VMGF.json,EMPTY,0,0,30,0.00,1952539,Has 30 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Guidelines-KERRA-National-Values-Governance.json,EMPTY,0,0,0,0.00,179666,All records extracted to empty text,
2023-Guidelines-UNODC-ODPP-Prosecution-CEC.json,EMPTY,0,0,3,0.00,1401461,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-IGF-Report.json,EMPTY,0,0,12,0.00,1180371,Has 12 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-IGGF-Report.json,EMPTY,0,0,3,0.00,817306,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Manual-KeNHA-RDM-1_3-Geometric-Design.json,EMPTY,0,0,185,0.00,22369742,Has 185 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Manual-KeNHA-RDM-2_1-Hydrological-Surveys.json,EMPTY,0,0,56,0.00,5563758,Has 56 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Manual-KeNHA-RDM-2_2-Drainage-Design.json,EMPTY,0,0,99,0.00,14813969,Has 99 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
