agent,original_filename,filepath,size_kb,flags
Agriculture,KALRO-TRI ANNUAL REPORT 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO-TRI ANNUAL REPORT 2022-2023.pdf,2356.0,ALL_CAPS|HAS_SPACES
Agriculture,KENYA-POST-HARVEST-MANAGEMENT-ON-FOOD-LOSS-AND-WASTE-REDUCTION-STRATEGY.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KENYA-POST-HARVEST-MANAGEMENT-ON-FOOD-LOSS-AND-WASTE-REDUCTION-STRATEGY.pdf,6508.5,ALL_CAPS
Agriculture,KEPHIS_ANNUAL_REPORT_2019.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KEPHIS_ANNUAL_REPORT_2019.pdf,18379.2,ALL_CAPS
Agriculture,Kenya-Agricultural-and-Livestock-Research-Organization-2022_2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Kenya-Agricultural-and-Livestock-Research-Organization-2022_2023.pdf,18082.0,
Agriculture,Kenya-Crop-Conditions-Bulletin-August-2021-3.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Kenya-Crop-Conditions-Bulletin-August-2021-3.pdf,22491.5,
Agriculture,Kenya-Crop-Conditions-Bulletin-August-2021.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Kenya-Crop-Conditions-Bulletin-August-2021.pdf,22491.5,
Agriculture,Kenya-Youth-in-Agribusiness-Strategy_signed-Copy.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Kenya-Youth-in-Agribusiness-Strategy_signed-Copy.pdf,1224.6,
Agriculture,Migratory-and-Invasive-Pests-and-Weeds-Management-Strategy-2022.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Migratory-and-Invasive-Pests-and-Weeds-Management-Strategy-2022.pdf,12166.6,
Agriculture,Ministrys-Strategic-Plan-for-2023-2027-Final-Version-for-validation-and-Stakeholder-Engagement-19.12.2023-1.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Ministrys-Strategic-Plan-for-2023-2027-Final-Version-for-validation-and-Stakeholder-Engagement-19.12.2023-1.pdf,1945.8,
Agriculture,NATIONAL-CASSAVA-CONFERENCE-AND-EXPO-DIGITAL-REPORT.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/NATIONAL-CASSAVA-CONFERENCE-AND-EXPO-DIGITAL-REPORT.pdf,2303.9,ALL_CAPS
Agriculture,NCPB-National-Food-ReserveRegulations-National-Validation-Copy.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/NCPB-National-Food-ReserveRegulations-National-Validation-Copy.pdf,91.4,
Agriculture,NIAstrategicplan2023_2027.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/NIAstrategicplan2023_2027.pdf,2684.8,
Agriculture,NSAFS-Facilitators-Manual-Draft-i-compressed.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/NSAFS-Facilitators-Manual-Draft-i-compressed.pdf,9999.5,
Agriculture,National-Agriculture-Production-Report-2024.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/National-Agriculture-Production-Report-2024.pdf,12108.2,
